,date,text,condition
101129,"2019,9,23","delhiUpdated: Sep 24, 2019 08:34 ISTDelhi chief minister Arvind Kejriwal on Monday said his government will ensure an adequate supply of onions in the capital and bring down the price of the key kitchen staple to Rs 24 per kg in the next ten days.We are trying to procure onions from all sources that are available to us and tenders have been floated for the transportation of onions. We will ensure an adequate supply of good quality onions in Delhi. Within ten days, we will bring down the price of onions to Rs 24 per kg and that will be made available to the public through fair price shops and mobile vans, Kejriwal said.On Monday, onion price had shot up to around Rs 60-80 per kg in most retail markets across Delhi, depending on the locality, demand, supply and the quality of the stock.On September 20, Delhis food and supplies minister Imran Hussain had directed officials in the department to make adequate arrangements to keep a check on the shooting prices of onion and ensure their supply to fair price shops for retail sales in case any emergent situation arises.The government said they had set up a committee to suggest market intervention for checking the prices of essential commodities. This committee is currently focusing on bringing down onion prices.On September 12, the Centre has asked the Delhi government to take the key kitchen staple from its buffer stock and sell it at a maximum retail price of Rs 23.90 per kg through its civil supplies department and ration shops.Senior government officials said transportation of onions has been one of the main problem areas and the state government is working on that.First Published: Sep 23, 2019 20:38 IST,2019,9,23",True
101175,"2019,9,24","Chief Minister Arvind Kejriwal on Monday said the government was procuring onions for sale at cheaper prices through fair shops and mobile vans.He said this will offer relief to consumers troubled by the soaring price of onions. The government is buying onions and the sale is expected to begin in 10 days. The price of onion will be 24 per kg, he said.An official said onions are sold here at 60-70 per kg in the retail market. On its part, BJP State chief Manoj Tiwari alleged that the government has failed to curb hoarding of onions leading to their spiraling prices. He said the price had increased by 200% to 300% in the last 10 days. The government is responsible for the black marketing...it should hold an inquiry and apprise the people about the reason of rising prices, he demanded.,2019,9,24",True
101272,"2019,9,24","By Express News ServiceCHENNAI: To tackle the steep onion price hike, Minister for Food R Kamaraj and Minister for Cooperation Sellur K Raju on Monday said the State was mulling procurement of onion and selling it at concessional rates. A decision will be taken in consultation with the Chief Minister.Chairing a review meeting at the secretariat on Monday, the ministers said the government was keenly monitoring the situation and steps were being taken to prevent hoarding as well as to ensure easy availability of onion.The officials said that supply of onions from Nasik in Maharashtra and certain areas in Karnataka was reduced recently due to heavy rains and so, the prices had gone up. However, supply from Nasik and Andhra has resumed and the loads are expected to reach Koyambedu soon. So, the price is expected to come down, the officials added.A release said the officials had denied reports of onions being sold at higher prices. They said at the Farm Fresh Shops of the Cooperation department, big-size onion was sold at `45 or `46 per kg.,2019,9,24",True
101286,"2019,9,24","Onion prices have skyrocketed owing to incessant rains in the district. A significant number of onions were spoilt following the rain. This coupled with a lesser yield this year, has led to an increase in its price, which is currently being sold upwards of 60 a kg.Both the consumers and the farmers are disheartened. While the consumers are concerned about the sharp increase in prices, the farmers are worried about the lack of proper infrastructure to store the produce.,2019,9,24",True
101509,"2019,9,25","By Express News ServiceNEW DELHI: The Delhi Government requested the Centre to supply five truckloads of onion daily through National Agricultural Cooperative Marketing Federation of India (NAFED) after reviewing the rising onion prices in the city.The state government is shortly going to sell onion at highly subsidised rate of Rs 23.90 per kg from its 390 fair price shops and 80 mobile vans. The Department of Delhi State Civil Supplies Corporation Limited (DSCSC) informed that it has already floated a short term tender for shortlisting transporters for transporting onion from NAFED godowns to fair price shops for sale of onion through mobile vans in various parts of Delhi, a government statement said. The tender is likely to be finalised by October 4.Food and Civil Supplies Minister Imran Hussain on Tuesday held a high-level meeting with the Chief Secretary of Delhi and other senior officials to discuss the steps being to procure and distribute onions at affordable prices.This (onion) supply can be further increased depending upon the requirement of onion in Delhi, the statement added. The administration has directed the Market Intelligence Cell of the Food Department to increase vigil and keep close watch on the retail price movement of onion during next 15-20 days. There is need to keep an intense watch on the prices of onion in various local markets within Delhi and review prices at different times within a day also.The Chief Secretary directed Commissioner (F&S) to study the best practices being adopted by other states for curbing onion prices.Hussain said that there is no need for panic, since the government is taking all necessary measures to ensure regular supply of onion and taking strict action against black-marketers, hoarders and profiteers.,2019,9,25",True
101642,"2019,9,25","Minister for Agriculture and Cooperation K. Kannababu said that the State government is making all efforts to make onions available at affordable prices in rythu bazaars across the State soon.Speaking to reporters in Kakinada, Mr. Kannababu said that Minister for Marketing Mopidevi Venkataramana had already reviewed the situation with the officials concerned and a decision will be taken in a day or two.He asked traders not to inflate prices by stocking excess amount of onions and warned that the government will act strictly against violators.,2019,9,25",True
101708,"2019,9,26","In a relief to Tricity residents, the Chandigarh administration will now purchase onions and sell the same at subsidised rates.AdvertisingThe administration was directed to ensure the sale of onions on no-profit-no-loss basis by Governor and Chandigarh Administrator, VP Singh Badnore, Wednesday.Addressing a meeting of senior officers of the Chandigarh Administration, the Governor expressed concern over the escalating price of onion.Badnore directed the Food and Supplies department to purchase onions at wholesale price and sell it on no-profit-no-loss basis.AdvertisingPeople will get some relief from this initiative, Badnore said.The officers of the Food and Supply department will set up counters at five clusters, including Mauli Jagran, Dhanas, Maloya, Ram Darbar and Manimajra community centres from Thursday.,2019,9,26",True
101767,"2019,9,26","By Express News ServiceNEW DELHI: With the Aam Aadmi Party (AAP) government announcing new welfare schemes regularly, the Delhi Congress on Wednesday accused chief minister Arvind Kejriwal of conning people by offering freebies and making false claims.The three working presidents of Delhi Congress  Haroon Yusuf, Devendra Yadav, and Rajesh Lilothia  speaking at a joint press conference, said that they would hold a demonstration at the CMs official residence to expose how Kejriwal had failed to fulfill promises made during 2015 Assembly elections.When Kejriwal is slated to hold Adhikar Divas (rights day) to make a fresh set of promises to the sanitation workers of Delhi, we will be observing Chhalawa Divas (Deception Day) on Thursday to highlight Kejriwal governments failure. We will protest at his residence as the government has not fulfilled any of his promises made to the people including measures for the welfare of sanitation workers, said Lilothia.Yusuf alleged that the AAP government had just been doing lip service since it came to power andindulged in fake publicity.The CM claims that the government had made measures to address shortage of onions and the situation will be normal in 10 days. By then, onions from Gujarat and Rajasthan would start arriving in Delhi, and the prices would automatically fall. He is trying to fool people. In last four and half years, Kejriwal has only made statements, Yusuf said.,2019,9,26",True
102019,"2019,9,27","By Express News ServiceROURKELA: With onion selling for Rs 50-60 per kg in Rourkela market, the consumers are in tears.Even as the price of the bulb has been going up for the last two months, the administration seems oblivious to the crisis. Onion is fast vanishing from kitchens with some people cutting down on its consumption.Sources said, the bulb, an essential ingredient in kitchen, is being sold for Rs 50 per kg in Traffic GateMarket, Daily Market and Ispat Market. With some vendors selling it for Rs 60 per kg, the absence of a mechanism to check the price of onion is quite apparent in the city.Two months back, onion was abundantly available in the market for Rs 15 per kg. However, by September 2, the price went up to Rs 35-40 per kg depending on quality and size.A retailer Basu Barik said the wholesale price of onion is Rs 45-46 per kg and he sells it for Rs 50 as around five to 10 kg in a sack of 50 kg is discarded as waste.On September 2, Sundargarh Civil Supplies Officer A Barik said he had written to Rourkela ADM and Assistant Civil Supplies Officer (ACSO) to call a meeting of the onion wholesalers and find ways to keep the price of bulb in check.The bulk of onion is procured from Nashik in Maharashtra and the rise in its price is being attributed to shortage of the bulb at the source.,2019,9,27",True
102043,"2019,9,27","To check high onion prices, which are as much as 60 per kilogram in the country, the Delhi Government will ensure that onion prices are capped at 23.90 in the Capital, said Chief Minister Arvind Kejriwal on September 26.In addition to ensure that onions are available to citizens across the city, the government will make these available at 400 fair price shops even as it keeps a check on complaints of possible hoarding to create artificial scarcity in the market, said Mr. Kejriwal.The Chief Minister said 70 mobile vans will also deployed  one at each Assembly constituency  to ensure there is no obstruction in the supply-demand chain.,2019,9,27",True
102595,"2019,9,29","By Express News ServiceNEW DELHI: Chief Minister Arvind Kejriwal flagged off a fleet of vans on Saturday for providing onions at a subsidised rate to the people, promoting the BJP to claim that the Delhi government has made arrangements only to sell but not to stop black marketing of the key kitchen staple.Onions will be sold at Rs 23.90 per kilo at 400 ration shops across the city. Onions are currently priced Rs 60-80 per kilo in the retail market in Delhi.At Azadpur Mandi, the wholesale price has gone up to Rs 60 per kg, the highest since 2015.ALSO READ: Rising prices cast shadow on Onion Mission in OdishaOne person can get a maximum of five kg of onions. The sale of onions will be held from 10 am to 5 pm. No identification proofs are required to purchase onions from the FPSs, the government said in a statement.After flagging off the vehicles outside the Delhi Secretariat, Kejriwal said that after first five days, the procurement of onion stocks will be reviewed as per the requirement.One mobile van each will be taken by the MLAs to their constituencies for covering all 70 Assembly constituencies.Two government officials will visit Nagpur to examine the quality of onions and to ensure supply of good quality onions to the national capital.ALSO READ: Subsidised onions at Vijayawada's rythu bazarMeanwhile, Leader of Opposition in Legislative Assembly Vijender Gupta claimed chaos started soon after Kejriwal flagged off the vehicles.He added that to meet the shortage of onions, the Union government is supplying onions to Delhi at Rs 15.90 per kg. But here also the Kejriwal government is selling these onions to the people at Rs 24 per kg... The Delhi government is profiteering instead of providing subsidy to make onions cheap for the people.There is every possibility of black marketing as the government has taken no steps to prevent it, Gupta said.Why did this government not take timely steps to overcome shortage of onion supply? Onions are selling in Delhi at Rs 80 per kg due to negligence of the government, and the poor are being forced to shed tears.,2019,9,29",True
102598,"2019,9,29","By Express News ServiceNEW DELHI: Chief Minister Arvind Kejriwal flagged off a fleet of vans on Saturday for providing onions at a subsidised rate to the people, promoting the BJP to claim that the Delhi government has made arrangements only to sell but not to stop black marketing of the key kitchen staple.Onions will be sold at Rs 23.90 per kilo at 400 ration shops across the city. Onions are currently priced Rs 60-80 per kilo in the retail market in Delhi.At Azadpur Mandi, the wholesale price has gone up to Rs 60 per kg, the highest since 2015.ALSO READ: Rising prices cast shadow on Onion Mission in OdishaOne person can get a maximum of five kg of onions. The sale of onions will be held from 10 am to 5 pm. No identification proofs are required to purchase onions from the FPSs, the government said in a statement.After flagging off the vehicles outside the Delhi Secretariat, Kejriwal said that after first five days, the procurement of onion stocks will be reviewed as per the requirement.One mobile van each will be taken by the MLAs to their constituencies for covering all 70 Assembly constituencies.Two government officials will visit Nagpur to examine the quality of onions and to ensure supply of good quality onions to the national capital.ALSO READ: Subsidised onions at Vijayawada's rythu bazarMeanwhile, Leader of Opposition in Legislative Assembly Vijender Gupta claimed chaos started soon after Kejriwal flagged off the vehicles.He added that to meet the shortage of onions, the Union government is supplying onions to Delhi at Rs 15.90 per kg. But here also the Kejriwal government is selling these onions to the people at Rs 24 per kg... The Delhi government is profiteering instead of providing subsidy to make onions cheap for the people.There is every possibility of black marketing as the government has taken no steps to prevent it, Gupta said.Why did this government not take timely steps to overcome shortage of onion supply? Onions are selling in Delhi at Rs 80 per kg due to negligence of the government, and the poor are being forced to shed tears.,2019,9,29",True
102610,"2019,9,29","CM Arvind KejriwalNEW DELHI: In a move to provide relief to Delhiites, Delhi government on Saturday started providing onions at Rs 23.9 per kg through mobile vans and fair price shops. Altogether, over 70 mobile vans and 400 fair price shops have been arranged to sell the onions at subsided rate in the capital.Flagging off the mobile vans from Delhi Secretariat on Saturday, chief minister Arvind Kejriwal said that after the first five days, procurement of onion stock would be reviewed as per the requirement.Under the subsidised rate, a person can get a maximum of five kilograms of onions in a day. The sale of onions will be held from 10am to 5pm. Although no ID proof is required to purchase the onions from fair price shops, the CM urged the common people to be honest and avoid black-marketing of the vegetable.The retail market in Delhi is selling onions at Rs 70-80 per kg. We do not want Delhiites to suffer from such eye-watering prices and have decided to sell onions at Rs 23.9 per kg. One mobile van each will be taken by MLAs to their respective constituencies. All 70 assembly constituencies in the city will be covered, the chief minister added.Kejriwal said the state government is directly putting into the market whatever has been procured from the centre. Two Delhi government officials will soon visit Nagpur to examine the quality of onions being sold there and to ensure supply of good quality onions for the city, he added.,2019,9,29",True
102671,"2019,9,29","CM Arvind KejriwalNEW DELHI: In a move to provide relief to Delhiites, Delhi government on Saturday started providing onions at Rs 23.9 per kg through mobile vans and fair price shops. Altogether, over 70 mobile vans and 400 fair price shops have been arranged to sell the onions at subsided rate in the capital.Flagging off the mobile vans from Delhi Secretariat on Saturday, chief minister Arvind Kejriwal said that after the first five days, procurement of onion stock would be reviewed as per the requirement.Under the subsidised rate, a person can get a maximum of five kilograms of onions in a day. The sale of onions will be held from 10am to 5pm. Although no ID proof is required to purchase the onions from fair price shops, the CM urged the common people to be honest and avoid black-marketing of the vegetable.The retail market in Delhi is selling onions at Rs 70-80 per kg. We do not want Delhiites to suffer from such eye-watering prices and have decided to sell onions at Rs 23.9 per kg. One mobile van each will be taken by MLAs to their respective constituencies. All 70 assembly constituencies in the city will be covered, the chief minister added.Kejriwal said the state government is directly putting into the market whatever has been procured from the centre. Two Delhi government officials will soon visit Nagpur to examine the quality of onions being sold there and to ensure supply of good quality onions for the city, he added.,2019,9,29",True
102703,"2019,9,29","In the light of skyrocketing prices, the government on Sunday prohibited onion exports until further notice and imposed limits on the stocks that can be held to prevent hoarding.Government sources said the States had been asked to take strict measures to prevent hoarding by traders, including organising raids.Export policy of onion for the item description at Serial Number 51 & 52 of Chapter 7 of Schedule 2 of ITC (HS) classification of Export & Import Items is amended from free to prohibited till further orders, an official notification said. In other words, export of all varieties of onions, as described above, is prohibited with immediate effect.Further, a stock limit of 100 quintals for retail traders and 500 quintals for wholesale traders has been imposed.The retail price of onions have shot up to as much as 60 per kg in the metros. At one point, they even touched 80 per kg.A central buffer of 56,700 metric tonnes was built by the government.The buffer stocks are maintained through the National Agricultural Cooperative Marketing Federation of India (NAFED).Supplies to Delhi, Haryana, and Andhra Pradesh are being conducted at regulated rates using these stocks.Other States have also been asked to use this buffer and indicate their demand to the Department of Consumer Affairs or NAFED.,2019,9,29",True
102783,"2019,9,29","In the light of skyrocketing prices, the government on Sunday prohibited onion exports until further notice and imposed limits on the stocks that can be held to prevent hoarding.Government sources said the States had been asked to take strict measures to prevent hoarding by traders, including organising raids.Export policy of onion for the item description at Serial Number 51 & 52 of Chapter 7 of Schedule 2 of ITC (HS) classification of Export & Import Items is amended from free to prohibited till further orders, an official notification said. In other words, export of all varieties of onions, as described above, is prohibited with immediate effect.Further, a stock limit of 100 quintals for retail traders and 500 quintals for wholesale traders has been imposed.The retail price of onions have shot up to as much as 60 per kg in the metros. At one point, they even touched 80 per kg.A central buffer of 56,700 metric tonnes was built by the government.The buffer stocks are maintained through the National Agricultural Cooperative Marketing Federation of India (NAFED).Supplies to Delhi, Haryana, and Andhra Pradesh are being conducted at regulated rates using these stocks.Other States have also been asked to use this buffer and indicate their demand to the Department of Consumer Affairs or NAFED.,2019,9,29",True
103089,"2019,9,30","Will The Rise In Onion Prices Affect The Outcome Of Upcoming State Polls? | Crux+Sep 30, 2019 12:54 PM IST India India ShareThe last few days has seen a sudden increase in the price of onion in India. The price rise can be attributed to the monsoon rains that damaged the onion crop. But the most common house-hold commodity has a deep relation with Indian politics. The onion has made the fortune of many great leaders like Indira Gandhi to Sheila Dikshit. Similarly it has ended many political career. With the state election just round the corner. Let's understand how this common house hold commodity became a king maker in Indian politics.,2019,9,30",True
103352,"2019,10,1","A day after onion growers from Nashik, Pune hit the roads to protest against the export ban on onions, BJP MP from Dindori, Bharati Pawar wrote to the Union Commerce Minister and the Union Agriculture Minister asking the ban to be rolled back. In her letter, the MP has said the decision has caused great discontentment among farmers in Maharashtra.AdvertisingOn Sunday, the central government completely banned the export of onions and also defined limits to the stock that wholesale and retail traders can hold. These decisions were taken to cool down the prices of the bulb. Due to lesser production of onion in the in Maharashtra and Karnataka, prices of onion had spiked. While in majority of the wholesale markets, onion was trading above Rs 3,500 per quintal in most, cities retail customers were buying onion at Rs 60-70 per kg.Pawar, whose constituency encompasses the onion growing belt of Nashik pointed out how this decision of export ban would affect all onion growers in the country.Maharashtra alone accounts for 33 per cent of the onions produced in the country. This decision has caused great discontentment among them, she said.AdvertisingThe decision taken by the government in terms of onion prices comes even as Maharashtra and Haryana go to polls in the next 20 days.The BJP-Shiv Sena combine had swept the onion belt of Maharashtra in the 2019 Lok Sabha polls and they hope to do the same during the upcoming Vidhan Sabha elections. The governments decision has not gone down well with onion growers who had protested on Monday in Nashik.,2019,10,1",True
103648,"2019,10,2","Representative imageTimesView Some amount of demand-supply discrepancy happens during festivals. But effective monitoring is needed to ensure that the price rise does not assume runaway proportions.KOLKATA: Even though the price of onion has dipped in the wholesale markets, the retail price remained high. The traders said that it was high time for the government to intervene in the retail market to bring the onion price down.Even on Tuesday, the price of onion ranged from Rs 60 to Rs 70 a kg in the retail market, while in the wholesale market the price ranged between Rs 37.5 a kg to Rs 40 a kg. Even two days ago, the onion prices in the wholesale market ranged between Rs 42.5 a kg and Rs 45 a kg.In the crisis, the retailers, an onion trade sources said, managed to maximise the profit. There is no reason that price of onion cannot be brought down to Rs 50 a kg and further below. The enforcement department must be activated over the day light robbery happening across the retail markets. The retailers of particular commodities across the market are now well connected through phone and whatsapp and they fix the price before the break of the dawn.Meanwhile, the egg price has soared further to Rs 6 per piece. The price of a dozen eggs costs Rs 68. A source said the price of eggs usually sees a rise during the Puja when police impose restrictions on the movement of goods across the city.,2019,10,2",True
103787,"2019,10,3","Onion prices declined below 30 per kg level at Lasalgoan in Maharasthra, Asias largest wholesale market for the bulb crop, after the government banned export and imposed stock limit on traders.The maximum wholesale rate of onion at Lasalgoan in Nasik district have declined from the peak of 51 per kg during mid-September, according to the data maintained by the National Horticulture Research and Development Foundation (NHRDF).It may be noted that Lasalgoan mandi sets price trend across the country. Any fluctuation in this market reflects in other parts of the country.The average wholesale price of onion was 26 per kg on Thursday at the Lasalgaon Agriculture Produce Market Committee, while the maximum rate was 30.20 per kg and minimum rate quoted was 15 per kg.Onion prices have been on a rise since August, as floods in key growing states especially Maharasthra and Karnataka disrupted supplies. The likely fall in area sown to kharif onion further put pressure on prices.Right now, stored onion from rabi crop of last year is being sold in the market. The fresh kharif crop is expected to hit the market from November onwards.Since onion has been a politically sensitive crop, the government has taken several measures to boost the supply in the domestic market and contain price rise in retail markets, where the rates have shot up to 60-70 per kg in the national capital and other parts.To give relief to consumers in Delhi and NCR, cooperatives National Agricultural Cooperative Marketing Federation of India Ltd (Nafed) and the National Cooperative Consumers Federation (NCCF) as well as state run Mother Dairy are selling the buffer onion at a cheaper rate of 23.90 per kg.Other state governments have also been offered buffer stock onion maintained by the central government.Last week, the government banned export of onion and imposed stock limit on traders.,2019,10,3",True
